Probe id	Gene name	Entrez gene id	Chromosome	Start	End	Cytoband	RefSeq(mRNA)	RefSeq(protein)	BR:MCF7	BR:MDA-MB-231	BR:HS 578T	BR:BT-549	BR:T-47D	CNS:SF-268	CNS:SF-295	CNS:SF-539	CNS:SNB-19	CNS:SNB-75	CNS:U251	CO:COLO 205	CO:HCC-2998	CO:HCT-116	CO:HCT-15	CO:HT29	CO:KM12	CO:SW-620	LE:CCRF-CEM	LE:HL-60(TB)	LE:K-562	LE:MOLT-4	LE:RPMI-8226	LE:SR	ME:LOX IMVI	ME:MALME-3M	ME:M14	ME:SK-MEL-2	ME:SK-MEL-28	ME:SK-MEL-5	ME:UACC-257	ME:UACC-62	ME:MDA-MB-435	ME:MDA-N	LC:A549/ATCC	LC:EKVX	LC:HOP-62	LC:HOP-92	LC:NCI-H226	LC:NCI-H23	LC:NCI-H322M	LC:NCI-H460	LC:NCI-H522	OV:IGROV1	OV:OVCAR-3	OV:OVCAR-4	OV:OVCAR-5	OV:OVCAR-8	OV:SK-OV-3	OV:NCI/ADR-RES	PR:PC-3	PR:DU-145	RE:786-0	RE:A498	RE:ACHN	RE:CAKI-1	RE:RXF 393	RE:SN12C	RE:TK-10	RE:UO-31
CDK5	CDK5	1020	7	150750898	150755052	7q36	NM_004935.3	NP_004926.1	1.45	-0.795	-0.581	-0.358	0.213	0.427	0.353	0.183	-1	0.351	-0.139	-0.428	0.313	-0.041	-0.574	0.021	-0.091	0.995	1.389	0.868	0.714	1.495	0.71	0.726	0.474	1.216	1.973	2.03	1.541	1.104	1.092	0.185	1.468	0.591	-0.151	1.162	-1.298	0.948	-1.305	0.942	-0.846	-0.647	1.656	-0.175	0.274	-0.151	0.447	0.875	-0.659	0.748	0.856	0.238	-0.131	1.696	0.787	-0.157	0.301	-1.186	-0.273	0.098
CDKN2A	CDKN2A	1029	9	21967750	21994490	9p21	NM_058197.4	NP_000068.1	-1.673	-2.2	-0.581	3.988	-2.07	-1.95	-1.533	3.525	-1	2.23	-1.388	-3.571	3.125	-2.269	-2.35	-1.992	-2.879	-1.977	-2.481	-2.75	-3.142	-3.233	-3.03	-2.758	-1.993	-2.209	-0.754	1.019	2.527	-2.218	0.431	-2.893	0.389	-1.334	-2.087	-0.49	-1.298	-1.671	-1.305	-2.292	-0.846	-0.647	2.724	0.298	3.055	1.13	-1.784	3.984	-0.659	4.639	-2.095	0.209	-1.682	-1.677	-2.001	-2.008	-1.597	-1.186	-2.092	-1.662
ANXA1	ANXA1	301	9	75766646	75785310	9q21.13	NM_000700.1	NP_000691.1	-1.673	-0.059	-0.581	0.572	-2.07	0.9	0.736	-1.525	-1	2.117	0.011	-3.571	0.975	0.512	-2.35	0.742	-1.735	-1.977	0.432	-2.75	0.227	0.598	-3.03	-1.511	2.871	-2.209	1.837	-1.637	-2.203	-2.218	-2.711	0.658	0.245	-0.357	3.029	-1.578	-1.298	1.154	-0.292	1.46	-0.846	-0.647	4.277	-0.013	-1.334	-0.151	1.72	0.928	-0.659	1.302	1.343	1.243	0.394	1.784	0.257	-2.008	0.314	-1.186	-0.849	1.262
CDC2	CDK1	983	10	62538088	62554610	10q21.1	NM_001170406.1	NP_001163878.1	1.473	0.855	-0.581	0.733	1.787	0.741	0.834	0.425	0.666	0.111	-0.189	1.283	1.744	1.329	1.044	0.906	0.812	1.638	2.205	2.507	2.427	1.644	1.939	2.024	0.955	0.351	1.005	0.051	0.228	0.312	0.101	-0.171	0.948	1.076	2.636	2.471	1.753	2.047	1.923	1.553	2.502	2.591	1.747	0.137	0.347	-0.151	0.623	0.143	1.031	0.299	0.853	0.894	0.673	1.015	0.918	0.589	0.7	0.493	0.604	0.432
CASP7_16	CASP7	840	10	115438920	115490668	10q25	NM_001267057.1	NP_001218.1	2.699	1.177	0.851	0.767	3.167	0.954	1.379	2.421	1.14	1.108	1.392	1.998	2.15	2.535	2.13	1.715	1.771	1.446	2.13	2.294	0.798	2.966	2.419	1.658	1.731	1.096	2.683	0.876	1.461	0.795	0.874	1.326	1.166	1.32	2.169	2.302	0.847	2.27	2.08	2.455	2.504	3.617	3.167	0.945	1.571	-0.151	2.303	1.506	2.003	0.807	0.773	1.107	2.98	2.386	2.284	1.945	2.308	1.355	1.69	1.415
CASP7_22	CASP7	840	10	115438920	115490668	10q25	NM_033338.5	NP_203125.1	1.391	-0.6	-0.581	-1.563	1.414	-1.95	-0.165	0.386	-1	-0.454	-0.364	0.04	0.267	0.167	0.204	0	-0.08	-0.202	0.447	-0.761	-1.754	0.518	-0.392	-1.218	-0.517	-0.749	1.212	-0.069	-0.417	-2.218	-0.64	-0.908	-0.82	-0.477	-0.327	1.079	-1.298	-0.254	-1.305	-0.016	0.775	1.355	0.446	-1.596	0.262	-0.151	0.441	-0.343	0.891	-1.786	-0.729	-0.668	0.981	0.193	0.159	0.424	0.182	-0.18	-0.456	-0.085
CASP7_26	CASP7	840	10	115438920	115490668	10q25	NM_033340.3	NP_001253987.1	3.894	1.818	0.7	0.605	3.52	1.045	2.458	3.244	1.94	2.013	1.896	2.165	2.043	3.396	3.131	2.712	2.797	2.29	3.649	2.208	-0.189	3.438	2.591	1.867	2.355	1.41	4.838	3.367	2.017	1.591	1.982	2.641	2.082	1.722	2.471	3.035	1.579	2.44	1.929	2.86	2.421	4.096	3.394	2.453	3.178	-0.151	3.501	3.306	2.841	1.113	1.98	1.991	4.496	3.581	3.19	3.211	3.589	2.312	2.747	2.196
CASP7_6	CASP7	840	10	115438920	115490668	10q25	NM_001267056.1	NP_001253985.1	1.149	0.386	-0.581	-1.563	1.914	-0.202	1.158	1.756	0.589	0.847	0.992	0.612	0.908	1.638	1.08	0.957	1.106	0.595	2.144	0.626	-1.439	1.58	1.042	0.145	0.611	-0.216	1.572	0.827	0.763	-0.498	0.096	0.589	0.446	0.318	0.73	1.377	0.301	0.484	0.432	1.328	1.148	2.348	1.409	0.317	1.363	-0.151	1.537	0.982	-0.659	-0.457	0.115	0.854	2.468	1.304	1.46	2.378	2.148	0.895	0.773	1.006
MGMT_2	MGMT	4255	10	131265447	131565884	10q26	NM_002412.3	NP_002403.2	1.595	-2.2	-0.581	-1.563	0.047	-1.95	-1.533	-1.525	-1	-1.774	-1.388	-0.464	0.481	-2.269	-0.727	-0.142	-2.879	-1.977	1.503	1.429	-1.722	-0.308	-0.705	-2.758	-1.993	-2.209	0.265	-0.492	0.16	-2.218	-0.955	-2.893	-2.701	-2.789	-2.087	0.156	-1.298	-1.671	-1.305	-0.67	-0.846	-0.647	-0.092	-1.596	0.749	-0.151	0.677	0.571	1.068	-1.786	0.45	1.037	-1.682	-1.677	0.44	0.981	-1.597	-1.186	-1.025	0.326
MGMT_9	MGMT	4255	10	131265447	131565884	10q26	NM_002412.3	NP_002403.2	-0.079	-2.2	-0.581	-1.563	-0.481	-1.95	-1.533	-1.525	-1	-1.774	-1.388	0.784	0.995	-0.521	0.577	0.577	-2.879	-1.977	1.346	1.289	-0.126	1.157	0.593	-0.644	-1.993	-2.209	0.966	-0.243	-0.054	-2.218	-0.036	-1.486	-2.701	-2.789	0.366	0.601	0.093	-0.373	0.004	0.027	0.394	-0.647	0.729	-1.596	1.106	-0.151	0.082	0.877	-0.659	-0.407	0.44	-0.425	-1.682	-1.677	0.171	0.622	-1.597	-1.186	-0.852	1.036
HRAS	HRAS	3265	11	532241	535550	11p15.5	NM_001130442.1	NP_001123914.1	1.771	1.418	1.916	-1.563	1.3	0.984	1.059	0.284	1.054	1.021	0.622	0.282	0.791	0.62	0.989	1.264	-0.326	1.334	2.608	1.801	1.367	0.704	0.966	1.024	0.311	0.135	2.467	1.831	1.403	0.832	0.441	0.438	0.347	-0.41	1.721	3.106	2.445	2.091	1.613	0.78	1.571	2.003	1.837	0.786	1.299	1.701	1.928	1.099	1.652	0.905	0.863	0.2	1.17	1.877	0.881	0.711	1.302	0.452	0.634	1.27
RELA_10	RELA	5970	11	65421066	65430443	11q13	NM_021975.3	NP_001230913.1	2.026	2.207	1.726	1.855	2.408	1.97	2.099	1.532	2.376	1.713	1.389	1.221	1.576	2.403	2.011	1.955	1.698	2.956	1.885	2.518	1.954	2.054	2.639	3.55	2.139	1.635	3.402	1.306	3.745	2.48	3.015	3.477	2.795	2.151	1.485	2.75	2.633	1.892	1.317	1.49	1.604	1.142	2.063	2.601	2.507	2.783	3.189	2.85	2.766	2.175	2.694	2.625	2.936	2.418	2.521	2.602	3.539	1.879	2.678	3.114
RELA_11	RELA	5970	11	65421066	65430443	11q13	NM_021975.3	NP_001230913.1	1.494	1.266	1.133	1.203	1.058	1.58	1.573	0.996	1.661	0.955	0.932	1.573	1.528	2.42	1.938	1.732	1.529	2.281	3.042	3.433	2.99	2.654	3.489	4.243	1.414	0.721	2.197	2.578	3.036	2.523	2.966	3.527	2.415	1.593	2.444	2.941	3.289	2.782	1.612	2.145	1.738	1.664	3.105	2.829	3.161	2.968	3.031	3.634	2.835	1.411	2.188	2.089	3.535	2.925	2.898	2.341	3.159	1.298	1.761	2.663
RELA_12	RELA	5970	11	65421066	65430443	11q13	NM_021975.3	NP_001230913.1	2.661	2.282	1.408	2.402	2.055	2.947	2.861	2.295	2.806	2.433	2.233	1.162	1.618	2.771	1.913	2.108	2.218	3.128	0.844	1.673	0.607	0.646	2.047	3.453	2.46	1.843	3.61	3.174	3.719	2.031	2.608	3.417	3.182	2.686	0.844	2.061	2.037	1.284	1.483	1.191	1.314	1.006	2.424	2.411	2.514	2.98	1.473	2.343	1.805	2.443	3.262	3.157	2.856	1.012	1.639	2.369	3.179	2.265	2.702	3.579
RELA_13	RELA	5970	11	65421066	65430443	11q13	NM_021975.3	NP_001230913.1	1.882	2.091	2.209	2.496	2.195	2.026	2.529	2.738	2.909	2.638	2.402	1.304	1.891	2.589	2.837	2.234	2.303	2.757	2.656	2.5	1.841	2.149	2.766	3.669	2.82	2.178	3.23	2.768	3.272	1.993	2.239	3.311	2.618	1.751	1.403	3.169	3.061	2.523	1.911	2.272	1.613	1.825	3.018	2.253	2.478	2.841	2.594	2.315	2.3	1.928	2.922	2.622	2.678	2.05	2.272	2.092	2.763	2.17	2.552	3.125
RELA_14	RELA	5970	11	65421066	65430443	11q13	NM_021975.3	NP_001230913.1	2.019	2.445	2.615	2.646	2.394	2.228	2.762	2.314	2.588	2.272	2.046	1.719	1.821	2.692	1.925	2.269	2.121	3.228	2.229	2.484	2.129	2.094	2.307	3.565	2.357	1.785	2.559	2.365	3.365	1.659	2.509	3.066	2.746	2.81	1.506	2.887	2.827	2.244	1.787	2.285	1.972	1.604	2.694	2.16	2.347	2.905	2.48	2.153	2.346	2.396	2.443	2.479	2.58	2.089	2.243	2.445	3.017	2.128	2.296	3.146
RELA_6	RELA	5970	11	65421066	65430443	11q13	NM_021975.3	NP_001230913.1	0.986	2.193	1.335	1.257	1.537	0.859	1.405	0.452	0.298	0.934	0.454	0.65	1.363	0.688	0.286	0.819	0.085	1.203	2.053	1.82	1.629	1.292	1.317	1.527	1.395	-0.395	0.517	0.715	1.301	0.499	1.316	0.481	1.225	1.504	0.784	1.464	1.417	0.818	0.423	0.82	0.924	0.509	1.355	0.522	1.165	1.325	1.921	1.442	2.193	1.882	1.305	1.882	1.873	0.669	0.793	2.016	2.761	1.465	1.069	1.983
GSTP1_13	GSTP1	2950	11	67351065	67354124	11q13	NM_000852.3	NP_000843.1	-1.673	2.89	3.401	3.337	-2.07	3.882	2.498	1.284	3.23	2.906	3.49	3.929	4.56	3.677	4.992	4.466	-2.879	5.643	3.977	4.565	4.334	3.121	-0.332	4.032	3.065	3.837	5.02	3	4.539	3.68	5.312	3.971	3.656	3.852	3.316	6.236	2.371	3.619	3.213	6.172	2.731	3.028	5.077	4.099	3.406	4.168	4.615	4.841	4.012	3.398	3.422	3.584	-0.496	-1.677	4.088	4.741	4.344	3.454	-2.092	4.309
GSTP1_14	GSTP1	2950	11	67351065	67354124	11q13	NM_000852.3	NP_000843.1	-1.673	3.537	4.039	3.914	-2.07	3.786	3.27	1.767	4.105	3.596	4.215	5.209	5.507	4.427	6.048	4.937	-2.879	5.857	3.935	4.587	4.449	4.115	-3.03	4.412	4.009	4.715	4.877	3.551	4.991	4.121	5.821	4.484	4.711	4.715	3.856	6.468	2.308	3.993	3.572	6.372	2.665	3.204	4.998	4.547	3.369	3.782	4.437	4.912	4.249	4.097	3.312	3.132	-0.103	-1.677	3.806	4.346	4.561	2.866	-2.092	4.465
FADD_26	FADD	8772	11	70049268	70053508	11q13.3	NM_003824.3	NP_003815.1	1.449	0.844	0.446	-0.102	0.777	0.881	-0.377	0.104	0.05	0.076	0.75	0.5	0.329	0.248	0.768	1.035	0.284	1.52	2.316	1.446	1.987	1.324	1.924	1.654	0.846	0.371	2.463	3.614	0.657	1.78	1.803	1.098	0.802	0.357	1.613	2.968	2.726	2.006	1.374	3.209	0.943	0.934	1.688	0.372	-1.334	-0.151	1.989	1.202	1.202	-0.711	1.277	0.864	2.258	1.155	0.997	1.048	0.977	0.134	1.757	1.354
FADD_6	FADD	8772	11	70049268	70053508	11q13.3	NM_003824.3	NP_003815.1	-0.1	-0.023	-0.581	-1.563	-0.12	-0.334	-1.533	-1.525	-1	-1.774	-1.388	-0.486	0.164	-0.781	-0.73	-0.272	-0.955	-0.021	0.481	-0.201	-0.309	-0.629	-0.238	-0.424	-0.64	-2.209	-2.683	-1.637	-2.203	-2.218	-2.711	-2.893	-0.429	-0.539	-0.357	1.338	0.716	0.249	-0.03	1.541	0.57	-0.647	0.1	-1.596	-1.334	-0.151	0.743	-0.027	-0.659	-1.786	0.073	0.578	-1.682	-1.677	-2.001	-2.008	-0.158	-1.186	0.508	0.526
FADD_9	FADD	8772	11	70049268	70053508	11q13.3	NM_003824.3	NP_003815.1	0.046	1.224	0.978	0.723	0.792	1.493	0.72	1.084	1.318	0.431	1.264	0.878	0.873	0.145	0.853	0.717	0.078	0.747	1.144	1.119	0.978	1.091	1.36	0.611	1.552	0.796	1.243	2.163	0.575	1.139	1.805	0.813	1.053	1.611	0.836	1.895	1.962	1.062	0.77	2.542	0.563	0.362	1.41	0.584	0.595	-0.151	1.644	1.34	0.999	0.211	0.963	0.771	1.853	0.676	0.78	1.2	0.775	0.672	1.212	1.737
EMS1	CTTN	2017	11	70244611	70282690	11q13	NM_005231.3	NP_612632.1	0.42	-2.2	-0.581	-1.563	0.599	-1.95	-1.533	-1.525	-1	-1.774	-1.388	1.194	1.408	0.43	0.585	0.278	0.258	1.02	0.178	-0.579	-1.053	-2.112	1.338	-2.758	-1.993	-2.209	1.129	0.556	-2.203	-2.218	-2.711	-2.893	-2.701	-2.789	-0.61	0.391	-1.298	-1.671	-1.305	0.247	0.998	-0.647	-1.328	-0.18	0.429	3.515	-1.784	-0.202	0.349	0.818	-2.095	-1.688	-1.682	-1.677	-2.001	-2.008	-1.597	-1.186	-2.092	-1.662
TYR	TYR	7299	11	88911039	89028927	11q14-q21	NM_000372.4	NP_000363.1	-1.673	-2.2	-0.581	-1.563	-0.402	-1.95	-1.533	-1.525	-1	-1.774	-1.388	-2.405	-1.23	-2.269	-2.35	-1.992	-2.879	-1.977	-1.333	-1.513	-1.687	-3.233	-3.03	-2.758	-1.993	2.729	0.227	-0.327	-0.32	0.973	1.123	-1.763	0.45	1.376	-2.087	-1.578	-1.298	-1.671	-1.305	-2.292	-0.846	-0.647	-1.328	-1.596	-1.334	-0.151	-1.784	-1.579	-0.659	-1.786	-2.095	-1.688	-1.682	-1.677	-2.001	-2.008	-1.597	-1.186	-2.092	-1.662
PGR	PGR	5241	11	100900354	101000544	11q22-q23	NM_000926.4	NP_001258090.1	0.349	0.494	0.88	1.291	2.079	-0.281	-0.132	-0.111	-1	-0.038	0.014	0.369	0.536	-0.26	0.045	-0.414	-0.518	-0.032	0.869	0.528	0.238	0.212	-0.096	-0.208	-0.374	0.179	-0.309	0.303	0.674	0.331	0.551	0.365	0.93	0.916	0.276	1.813	0.506	0.959	0.35	0.432	0.864	1.533	1.015	-0.037	0.848	1.095	1.027	0.548	0.985	-0.088	0.585	0.729	0.466	0.265	1.215	0.817	0.227	0.607	0.338	0.728
NCAM1	NCAM1	4684	11	112831968	113149158	11q23.1	NM_001242608.1	NP_001229537.1	0.672	-1.033	-0.581	-0.378	0.89	-1.95	-1.533	-1.525	-1	-1.774	-1.388	-0.424	0.194	-2.269	-0.896	-1.992	-1.366	-0.07	-0.923	-0.618	-0.426	-1.257	-0.156	-1.074	-1.993	0.855	1.489	1.35	2.452	2.981	2.933	0.613	-0.393	-0.149	-0.227	0.382	-1.298	0.186	-0.303	-0.708	0.662	0.407	-1.328	0.014	-0.261	-0.151	-0.004	-1.579	0.466	-1.786	-2.095	-1.688	-1.682	-1.677	-0.641	-2.008	-1.597	-1.186	-2.092	-1.662
PTPN6	PTPN6	5777	12	7055739	7070479	12p13	NM_080549.3	NP_002822.2	-1.673	-2.2	-0.581	-1.563	-2.07	-1.95	-1.533	-1.525	-1	-1.774	-1.388	-1.367	-1.23	-2.269	-2.35	-1.992	-2.879	-1.977	1.16	1.939	-1.343	-0.381	-0.361	-0.771	-1.993	-2.209	-2.683	-1.637	-2.203	-2.218	-2.711	-2.893	-2.701	-2.789	-2.087	-1.578	-1.298	-1.671	-1.305	-2.292	-0.846	-0.647	-1.328	-1.596	-1.334	-0.151	-1.784	-1.579	-0.659	-1.786	-2.095	-1.688	-1.682	-1.677	-2.001	-2.008	-1.597	-1.186	-2.092	-1.662
KRT7	KRT7	3855	12	52626953	52642709	12q13.13	NM_005556.3	NP_005547.3	1.35	4.779	-0.581	3.134	5.65	-1.95	-1.533	-1.525	-1	-1.774	-1.388	-0.739	0.141	-0.387	-0.549	-0.151	3.844	-0.007	-2.481	-2.75	-1.063	-2.024	-0.548	-0.498	-1.993	-2.209	-2.683	-1.637	-0.763	-2.218	-0.486	-0.515	-2.701	-1.731	6.459	6.29	6.03	4.609	-1.305	0.761	-0.846	5.365	-1.328	-0.541	-1.334	-0.151	-1.784	6.491	6.986	6.706	4.089	-1.688	-1.682	-1.677	-2.001	-2.008	-1.597	-0.117	-2.092	0.111
KRT8	KRT8	3856	12	53290970	53343650	12q13	NM_001256293.1	NP_001243211.1	4.47	-2.2	-0.581	-1.563	4.471	-1.95	-1.533	-1.525	-1	-1.774	-1.388	1.268	1.816	-0.337	0.857	2.479	1.592	1.751	-2.481	-2.75	-3.142	-3.233	-3.03	-2.758	-1.993	-2.209	-2.683	-1.637	-2.203	-2.218	-2.711	-2.893	-2.701	-2.789	0.38	-0.177	-0.135	-1.671	3.502	-2.292	4.024	0.605	-1.328	-1.596	1.735	2.24	0.108	-1.579	-0.659	-0.424	-2.095	-1.688	-1.682	-1.677	-2.001	-2.008	-1.597	-1.186	-2.092	-1.662
KRT18	KRT18	3875	12	53342654	53346685	12q13	NM_000224.2	NP_000215.1	6.175	3.444	-0.581	-0.094	6.258	0.349	-1.533	-1.525	-1	-1.774	2.009	-3.571	5.261	3.796	5.01	5.9	-2.879	5.848	-2.481	-2.75	1.716	-3.233	0.634	0.427	-1.993	-2.209	-2.683	-1.637	-2.203	-2.218	-2.711	-2.893	-2.701	-2.789	5.778	5.762	5.512	2.238	-1.305	0.707	7.937	5.001	-1.328	3.188	5.818	5.517	6.587	4.803	2.749	6.549	1.838	-1.688	2.204	2.523	4.184	2.964	-0.593	6.787	1.233	4.32
STAT6_20	STAT6	6778	12	57489186	57505196	12q13	NM_001178080.1	NP_001171549.1	1.362	0.1	0.635	0.323	1.787	-1.95	-1.533	0.368	-1	-1.774	-1.388	0.091	0.768	-0.198	0.291	0.793	0.294	0.64	0.87	1.153	-0.162	-0.376	0.896	0.845	1.711	1.725	2.008	1.031	0.198	-1.103	0.362	0.875	0.674	0.762	0.318	0.747	0.454	0.85	1.492	0.511	0.614	1.167	0.191	-0.142	-1.334	-0.151	0.785	0.077	0.447	-0.13	-0.511	0.459	0.895	1.084	2.086	0.863	0.985	0.182	0.876	1.83
STAT6_9	STAT6	6778	12	57489186	57505196	12q13	NM_001178079.1	NP_001171549.1	-1.673	0.633	0.614	-0.445	0.226	0.233	-1.533	0.24	-1	-0.577	-0.315	1.241	1.592	0.576	1.28	0.79	0.139	-0.226	1.776	2.259	1.591	1.616	2.187	2.302	1.042	1.289	0.353	0.106	0.161	-2.218	0.11	0.514	0.138	0.354	2.066	2.323	2.521	2.029	1.683	1.566	1.915	2.366	1.894	0.565	-1.334	-0.151	0.35	0.247	0.43	-0.04	-0.465	-1.688	1.052	0.196	0.882	0.154	0.039	-1.186	0.26	1.291
CDK4	CDK4	1019	12	58141509	58146230	12q14	NM_000075.3	NP_000066.1	0.724	0.733	0.665	0.137	0.841	0.387	1.774	0.614	0.84	0.684	1.026	1.671	1.244	1.949	0.924	1.488	0.8	1.282	3.113	3.198	2.565	2.637	2.453	2.547	1.024	0.048	1.532	1.247	1.267	1.228	1.139	1.02	1.204	0.807	1.743	1.472	1.584	2.01	1.526	1.891	0.684	1.895	3.059	1.125	0.436	-0.151	1.787	1.958	1.135	1.421	0.962	0.505	1.857	2.438	1.808	2.017	0.829	0.513	1.574	1.293
ATX2	ATXN2	6311	12	111890017	112037480	12q24.1	NM_002973.3	NP_002964.3	1.438	2.41	2.531	1.533	2.355	1.718	2.952	2.083	0.678	1.064	0.522	1.618	2.452	2.448	2.506	1.7	1.98	1.621	2.111	2.654	2.66	1.86	1.898	2.042	3.167	1.657	2.09	2.941	2.278	2.047	2.329	2.134	1.829	1.366	2.16	1.561	2.745	2.327	2.402	2.704	1.375	2.432	2.939	1.384	1.508	1.137	2.481	3.18	2.048	2.821	1.545	2.663	1.528	1.998	2.647	2.086	2.225	2.536	1.559	2.298
PTPN11	PTPN11	5781	12	112856535	112947717	12q24	NM_002834.3	NP_002825.3	0.463	-0.007	-0.581	0.435	1.104	0.915	0.203	-0.444	-1	0.245	0.04	-0.04	0.075	0.471	0.115	0.462	0.826	0.405	0.545	1.157	0.271	0.335	0.092	0.214	0.97	0.39	0.552	-1.637	-0.42	-2.218	0.127	-0.04	0.17	0.062	-0.278	-1.578	-1.298	-0.629	-1.305	-0.236	-0.846	-0.647	0.408	-0.135	-1.334	-0.151	-1.784	-1.579	-0.659	0.197	0.646	0.259	-0.032	-0.649	0.258	-0.47	0.512	-1.186	-0.585	0.891
RB1_10	RB1	5925	13	48877882	49056026	13q14.2	NM_000321.2	NP_000312.2	0.435	0.008	0.612	-1.563	0.32	0.5	0.535	-1.525	0.807	-1.774	-1.388	2.375	2.065	2.438	2.08	1.564	1.191	1.47	3.837	3.347	2.55	3.261	2.685	2.683	-1.993	-2.209	1.369	1.881	2.082	0.875	1.802	0.538	1.285	-1.24	2.356	2.325	2.375	1.988	1.998	2.843	2.028	2.212	1.822	0.494	0.327	-0.151	0.486	-1.579	1.094	-1.786	0.635	-1.688	0.15	0.107	0.405	-0.057	0.391	-1.186	0.088	0.433
RB1_2	RB1	5925	13	48877882	49056026	13q14.2	NM_000321.2	NP_000312.2	-0.65	-0.058	-0.581	-1.563	0.353	-1.95	-1.533	-1.525	-1	-1.774	-1.388	0.641	-1.23	-0.69	-0.895	0.013	-1.13	-1.977	1.11	1.553	-1.466	0.595	-1.827	-2.758	-1.993	-2.209	-1.439	0.261	0.867	-0.917	-0.809	-1.279	0.298	-0.115	-1.003	-1.578	-1.298	-1.671	-1.305	-2.292	-0.846	-0.647	-1.328	-1.596	-1.334	-0.151	0.569	-1.579	0.747	-1.786	-2.095	-1.688	-0.414	-0.599	0.464	-0.971	-0.16	-1.186	-0.408	-1.662
ISGF3G_26	IRF9	10379	14	24630421	24635774	14q11.2	NM_006084.4	NP_006075.3	0.235	-1.192	-0.581	0.688	0.257	-0.52	-0.096	1.108	-1	0.462	0.286	-0.22	0.814	-0.366	-0.079	1.119	-0.571	-0.405	1.079	0.694	0.754	0.235	1.533	1.664	0.555	0.779	-2.683	-1.637	-2.203	-2.218	-2.711	-2.893	-0.653	-0.447	0.84	1.705	0.992	1.795	1.04	0.575	1.17	1.016	0.494	-1.596	-1.334	-0.151	-1.784	-1.579	-0.659	-0.453	-0.871	-1.688	-1.682	-1.677	-2.001	-2.008	-1.597	-1.186	-0.167	-0.397
ISGF3G_9	IRF9	10379	14	24630421	24635774	14q11.2	NM_006084.4	NP_006075.3	-1.673	0.149	-0.581	-0.422	-2.07	1.277	0.207	1.052	1.162	0.526	1.172	2.328	3.047	2.85	2.311	1.786	0.835	0.894	2.554	3.081	2.686	2.762	3.105	3.41	-1.993	0.875	-0.717	-0.034	0.219	-0.354	0.036	-0.025	-0.53	-0.102	3.192	3.506	3.592	3.025	2.639	2.696	3.393	3.53	3.323	0.433	0.319	-0.151	0.034	0.587	0.738	-0.142	0.03	-1.688	0.603	-0.084	0.037	-0.644	-0.394	-1.186	-0.623	0.551
PRKCH	PRKCH	5583	14	61788160	62017698	14q23.1	NM_006255.3	NP_006246.2	3.235	2.928	2.135	1.463	3.236	1.62	2.635	2.896	2.588	2.197	2.548	2.417	-1.23	2.13	1.911	2.979	2.853	3.004	2.78	2.471	2.612	2.357	3.086	2.938	1.543	1.106	2.249	2.346	1.95	0.858	2.127	2.553	2.948	1.657	1.872	2.879	2.934	3.298	3.399	3.126	2.623	2.352	3.731	3.959	3.815	4.018	2.86	2.774	2.509	2.446	3.468	3.841	2.957	2.132	3.27	3.544	3.627	3.074	3.424	4.192
AKAP5	AKAP5	9495	14	64932216	64941221	14q23.3	NM_004857.3	NP_004848.3	1.653	-0.505	-0.581	-1.563	0.12	0.842	1.296	1.011	1.853	0.988	1.547	0.537	1.049	0.499	1.921	1.206	1.069	1.634	1.542	0.914	0.928	1.726	1.067	0.584	0.578	0.558	2.286	1.415	1.853	1.375	1.594	1.291	0.885	0.749	1.362	2.646	1.426	1.301	0.695	0.737	1.363	1.303	2.664	2.38	0.677	-0.151	1.072	1.649	2.211	0.812	1.776	2.023	0.421	0.648	0.984	2.017	0.655	0.932	0.857	2.121
ANXA2	ANXA2	302	15	60639349	60690185	15q22.2	NM_001002858.2	NP_004030.1	-1.673	1.667	0.855	1.047	0.808	2.317	1.138	0.936	0.924	2.47	2.367	1.509	0.208	0.536	0.599	2.34	0.809	-0.346	-2.481	-2.75	-3.142	-3.233	-3.03	-1.581	0.299	0.995	2.983	1.406	0.562	-2.218	-0.417	-0.219	-1.605	-1.729	2.541	3.204	2.945	2.821	3.236	-0.496	1.197	0.784	1.389	1.122	2.403	1.933	3.654	2.42	2.331	1.394	2.726	2.411	1.287	1.265	1.498	1.455	2.321	1.382	0.736	2.144
MAP2K1	MAP2K1	5604	15	66679210	66783882	15q22.1-q22.33	NM_002755.3	NP_002746.1	1.724	2.585	2.154	2.711	2.781	2.353	2.982	2.343	1.771	2.058	3.254	2.868	2.65	2.475	2.878	2.775	2.596	3.454	1.72	1.842	1.154	2.258	2.375	2.514	3.318	1.909	2.563	2.004	2.113	0.679	2.202	1.765	2.211	2.853	2.048	2.294	1.614	2.026	2.001	2.939	2.133	2.207	2.287	2.061	1.875	1.112	2.617	1.728	2.336	1.898	2.349	2.821	2.451	1.446	2.175	2.466	2.685	2.139	2.179	2.296
