HUGO_symbol	transcript	gene_coordinate	assigned_peak
NFE2L1	NM_001330261.1	chr17:46125666-46138907:+	chr17:46123785-46129049
ANKS3	NM_133450.3	chr16:4746510-4784163:-	chr16:4782977-4785632
C16orf71	NM_139170.2	chr16:4784288-4799397:+	chr16:4782977-4785632
GLRX2	NM_197962.2	chr1:193065594-193074608:-	chr1:193072560-193075328
HMBS	NM_001258208.1	chr11:118955586-118964259:+	chr11:118954995-118957229
PPP4C	NM_001303507.1	chr16:30087296-30096698:+	chr16:30086358-30089371
C5orf24	NM_152409.3	chr5:134181369-134195425:+	chr5:134181136-134183718
NME6	NM_001308427.1	chr3:48333806-48342901:-	chr3:48341559-48344099
MRPL57	NM_024026.4	chr13:21750371-21753223:+	chr13:21748655-21752457
SKA3	NM_145061.5	chr13:21727733-21750741:-	chr13:21748655-21752457
STARD3	NM_001165937.1	chr17:37793332-37820454:+	chr17:37792711-37794953
SCO1	NM_004589.3	chr17:10583648-10600885:-	chr17:10598961-10602824
ADPRM	NM_020233.4	chr17:10600926-10614875:+	chr17:10598961-10602824
ZNF17	NM_001330617.1	chr19:57922514-57933307:+	chr19:57921957-57923786
LAMTOR4	NM_001318237.1	chr7:99746521-99751835:+	chr7:99745811-99748177
TRAPPC6B	NM_001079537.1	chr14:39617014-39639634:-	chr14:39637093-39640552
ZNF786	NM_152411.3	chr7:148766732-148787869:-	chr7:148786086-148789413
STAG3L5P-PVRIG2P-PILRB	NR_036569.1	chr7:99933687-99965454:+	chr7:99931936-99937278
STAG3L5P	NR_103720.1	chr7:99933701-99938951:+	chr7:99931936-99937278
PMS2P1	NR_003613.1	chr7:99918262-99933930:-	chr7:99931936-99937278
IFT20	NM_001267774.1	chr17:26655350-26662515:-	chr17:26661088-26664998
TNFAIP1	NM_021137.4	chr17:26662547-26674035:+	chr17:26661088-26664998
PANK2	NM_024960.5	chr20:3869485-3910529:+	chr20:3868490-3874081
CDC37	NM_007065.3	chr19:10501808-10514271:-	chr19:10511598-10516622
MIR1181	NR_031592.1	chr19:10514133-10514214:-	chr19:10511598-10516622
PSPC1	NR_044998.1	chr13:20248891-20357159:-	chr13:20354320-20357793
EPRS	NM_004446.2	chr1:220141941-220220000:-	chr1:220217692-220220918
AEBP2	NM_001114176.1	chr12:19592607-19675173:+	chr12:19591814-19595528
IPO9-AS1	NR_046696.1	chr1:201657383-201798687:-	chr1:201797758-201800410
IPO9	NM_018085.4	chr1:201798287-201853422:+	chr1:201797758-201800410
TM2D2	NM_031940.3	chr8:38846326-38854041:-	chr8:38852013-38858321
ADAM9	NR_027639.1	chr8:38854504-38962780:+	chr8:38852013-38858321
HNRNPU	NM_031844.2	chr1:245013601-245027827:-	chr1:245022372-245029366
RANBP10	NM_001320240.1	chr16:67756968-67840555:-	chr16:67838329-67841600
TSNAXIP1	NM_001288994.1	chr16:67840780-67861971:+	chr16:67838329-67841600
OXLD1	NR_130939.1	chr17:79632065-79633176:-	chr17:79632327-79635860
CCDC137	NM_199287.2	chr17:79633760-79640937:+	chr17:79632327-79635860
STX17-AS1	NR_038853.1	chr9:102648598-102668883:-	chr9:102668236-102670584
STX17	NM_017919.2	chr9:102668914-102736818:+	chr9:102668236-102670584
TLK1	NM_012290.4	chr2:171847332-172017410:-	chr2:172014323-172018926
BRE	NM_001329112.1	chr2:28111575-28561768:+	chr2:28111508-28115120
RBKS	NM_001287580.1	chr2:28004230-28113263:-	chr2:28111508-28115120
BRE-AS1	NR_028308.1	chr2:28112322-28113981:-	chr2:28111508-28115120
WASF1	NM_003931.2	chr6:110421021-110501207:-	chr6:110499447-110503861
CDC40	NM_015891.2	chr6:110501623-110553423:+	chr6:110499447-110503861
CTCF	NM_001191022.1	chr16:67596309-67673088:+	chr16:67596348-67599017
LZTFL1	NM_020347.3	chr3:45864807-45883650:-	chr3:45882467-45884205
LASP1	NM_001271608.1	chr17:37026111-37078023:+	chr17:37023114-37028935
PABPC1	NM_002568.3	chr8:101715143-101734315:-	chr8:101729959-101736354
ETFA	NM_000126.3	chr15:76508627-76603810:-	chr15:76601921-76604368
PCNX4	NM_022495.5	chr14:60558628-60601532:+	chr14:60557402-60562448
GATM	NM_001321015.1	chr15:45653321-45694515:-	chr15:45693158-45697326
SPATA5L1	NM_001323640.1	chr15:45694518-45708103:+	chr15:45693158-45697326
SNRNP40	NM_004814.2	chr1:31732414-31769644:-	chr1:31767958-31772494
ZCCHC17	NM_001282570.1	chr1:31769828-31837800:+	chr1:31767958-31772494
BRPF1	NM_001319050.1	chr3:9773412-9789699:+	chr3:9772093-9775254
UBE2C	NR_104036.1	chr20:44441214-44445596:+	chr20:44440613-44443394
SNORD143	NR_132759.2	chr4:83817005-83817081:-	chr4:83818365-83823701
SNORD144	NR_132760.2	chr4:83819292-83819378:-	chr4:83818365-83823701
SEC31A	NM_001318120.1	chr4:83739661-83821724:-	chr4:83818365-83823701
THAP9	NM_024672.5	chr4:83821802-83841122:+	chr4:83818365-83823701
THAP9-AS1	NR_034075.1	chr4:83814604-83822069:-	chr4:83818365-83823701
WBP2	NM_012478.3	chr17:73841779-73851501:-	chr17:73849883-73853148
AK8	NM_001317959.1	chr9:135600964-135754198:-	chr9:135752877-135754936
SPACA9	NR_133631.1	chr9:135753706-135765419:+	chr9:135752877-135754936
MAGEF1	NM_022149.4	chr3:184428154-184429836:-	chr3:184427625-184430780
LCMT1	NM_001032391.1	chr16:25123046-25189551:+	chr16:25121261-25124233
LCMT1-AS1	NR_120306.1	chr16:25111884-25122876:-	chr16:25121261-25124233
MED17	NM_004268.4	chr11:93517404-93546496:+	chr11:93516544-93520873
LINC00959	NR_034125.1	chr10:131862159-131909081:-	chr10:131907523-131910952
ZNF800	NM_176814.4	chr7:127010096-127032778:-	chr7:127030772-127034226
SAP18	NM_005870.4	chr13:21714652-21723224:+	chr13:21712949-21716162
RANGAP1	NM_001278651.1	chr22:41640780-41682021:-	chr22:41680376-41683317
NDUFA6	NM_002490.4	chr22:42481529-42486959:-	chr22:42484874-42487911
NDUFA6-AS1	NR_034118.2	chr22:42486936-42521354:+	chr22:42484874-42487911
LOC100289473	NR_037142.1	chr20:1754010-1760392:-	chr20:1756894-1758357
NDUFB4	NM_004547.5	chr3:120315127-120321258:+	chr3:120314513-120317115
PPWD1	NM_015342.3	chr5:64859062-64883376:+	chr5:64856706-64860921
CENPK	NM_022145.4	chr5:64813592-64858995:-	chr5:64856706-64860921
CCDC91	NM_001330367.1	chr12:28343359-28703099:+	chr12:28342166-28345002
TTL	NM_153712.4	chr2:113239742-113290223:+	chr2:113238241-113241880
BPNT1	NM_001286151.1	chr1:220230823-220263195:-	chr1:220261671-220264207
MSH3	NM_002439.4	chr5:79950466-80172634:+	chr5:79948959-79951786
DHFR	NM_000791.3	chr5:79922044-79950800:-	chr5:79948959-79951786
MTRNR2L2	NM_001190470.1	chr5:79945818-79946854:-	chr5:79948959-79951786
SNX3	NM_003795.5	chr6:108532420-108582464:-	chr6:108580290-108583676
RPAP3	NM_024604.2	chr12:48055714-48099844:-	chr12:48098622-48101532
UBR5	NM_015902.5	chr8:103264500-103424917:-	chr8:103421967-103426291
NUCKS1	NM_022731.4	chr1:205681946-205719372:-	chr1:205715596-205720114
ZSCAN2	NM_017894.5	chr15:85144248-85150116:+	chr15:85142909-85145505
TRAFD1	NM_006700.2	chr12:112563348-112591408:+	chr12:112563129-112565084
SLC30A5	NM_022902.4	chr5:68389775-68426899:+	chr5:68389657-68391874
TUBA1C	NM_032704.4	chr12:49658781-49667121:+	chr12:49657054-49663750
RAB28	NM_001159601.1	chr4:13369346-13485989:-	chr4:13484291-13487128
SNAPC5	NR_138061.1	chr15:66782085-66790153:-	chr15:66788776-66790429
MIR4512	NR_039737.1	chr15:66789295-66789372:-	chr15:66788776-66790429
ERH	NM_004450.2	chr14:69846839-69865021:-	chr14:69862227-69868592
SLC39A9	NM_001252152.1	chr14:69865095-69929107:+	chr14:69862227-69868592
RAB30	NM_001286061.1	chr11:82684174-82782504:-	chr11:82779804-82784851
RAB30-AS1	NR_038903.1	chr11:82783107-82784754:+	chr11:82779804-82784851
PDXDC2P	NR_003610.1	chr16:70010199-70099851:-	chr16:70097116-70101273
WIPF2	NM_133264.4	chr17:38375573-38438439:+	chr17:38374835-38376884
ABCB8	NM_001282293.1	chr7:150725508-150744869:+	chr7:150724657-150726978
BORA	NM_001286747.1	chr13:73301886-73330336:+	chr13:73300105-73303870
MZT1	NM_001071775.2	chr13:73282494-73301938:-	chr13:73300105-73303870
SS18	NM_001007559.2	chr18:23596216-23670611:-	chr18:23667992-23671781
RRP36	NM_001329704.1	chr6:42989339-42997337:+	chr6:42988728-42990872
ZNF684	NM_152373.3	chr1:40997232-41013841:+	chr1:40996233-40998651
GAPDH	NM_002046.5	chr12:6643570-6647541:+	chr12:6641487-6647613
ZBTB40	NM_001330398.1	chr1:22778343-22857650:+	chr1:22777580-22779884
KTI12	NM_138417.2	chr1:52497776-52499472:-	chr1:52497027-52499858
MUT	NM_000255.3	chr6:49398072-49431041:-	chr6:49429279-49433209
CENPQ	NM_018132.3	chr6:49431095-49460820:+	chr6:49429279-49433209
ADPGK	NR_023318.1	chr15:73043707-73076126:-	chr15:73073686-73077322
ADPGK-AS1	NR_040107.1	chr15:73075175-73090540:+	chr15:73073686-73077322
SDAD1	NM_001288984.1	chr4:76871058-76912115:-	chr4:76910222-76913122
MTG1	NM_138384.2	chr10:135207620-135234174:+	chr10:135207053-135209155
GNS	NM_002076.3	chr12:65107221-65153226:-	chr12:65151536-65154544
TBC1D30	NM_001330187.1	chr12:65153276-65274802:+	chr12:65151536-65154544
SRSF7	NM_001031684.2	chr2:38970740-38978636:-	chr2:38974329-38979467
DHX15	NM_001358.2	chr4:24529086-24586184:-	chr4:24583361-24587279
B4GALT7	NM_007255.2	chr5:177027118-177037348:+	chr5:177026099-177028265
JADE2	NM_001308143.1	chr5:133860065-133918920:+	chr5:133859425-133864446
PPP2CA	NM_002715.2	chr5:133532147-133561950:-	chr5:133558009-133563542
MIR3661	NR_037434.1	chr5:133561447-133561543:+	chr5:133558009-133563542
CREBRF	NM_001168393.1	chr5:172483354-172519333:+	chr5:172482309-172486133
ARL5B	NM_178815.3	chr10:18948312-18966940:+	chr10:18946582-18950782
TRAPPC6A	NM_024108.2	chr19:45666185-45681501:-	chr19:45680174-45683990
BLOC1S3	NM_212550.4	chr19:45682002-45685059:+	chr19:45680174-45683990
CDK12	NM_015083.2	chr17:37617763-37690818:+	chr17:37616901-37622320
CHMP4A	NM_014169.3	chr14:24678786-24683036:-	chr14:24681351-24683333
MDP1	NM_001199822.1	chr14:24683142-24685276:-	chr14:24681351-24683333
INTS7	NR_037667.1	chr1:212113740-212209002:-	chr1:212206922-212212145
DTL	NM_001286229.1	chr1:212208894-212278348:+	chr1:212206922-212212145
RAD54B	NM_012415.3	chr8:95384187-95487343:-	chr8:95485362-95488521
GMPPB	NM_013334.3	chr3:49758908-49761407:-	chr3:49760078-49762380
TOP3B	NM_003935.4	chr22:22311396-22337240:-	chr22:22335859-22337915
POM121	NM_001257190.2	chr7:72349905-72421979:+	chr7:72349138-72352209
CLTA	NM_001311203.1	chr9:36190852-36212059:+	chr9:36189690-36193754
MIA2	NM_203354.2	chr14:39734475-39820397:+	chr14:39734384-39738334
LOC100288846	NR_038935.1	chr14:39734906-39736265:-	chr14:39734384-39738334
BAZ2B	NR_110586.1	chr2:160549702-160568946:-	chr2:160567498-160571564
MARCH7	NM_001282806.1	chr2:160568967-160625094:+	chr2:160567498-160571564
STK4	NM_006282.3	chr20:43595114-43708618:+	chr20:43594297-43597453
STK4-AS1	NR_038341.1	chr20:43592434-43595099:-	chr20:43594297-43597453
PYCR2	NM_013328.3	chr1:226107576-226112040:-	chr1:226110541-226113023
MIR6741	NR_106799.1	chr1:226109779-226109842:-	chr1:226110541-226113023
NTPCR	NR_138025.1	chr1:233086276-233114548:+	chr1:233085355-233088069
DHX37	NM_032656.3	chr12:125431369-125473667:-	chr12:125472214-125474146
WDR31	NM_001012361.3	chr9:116075501-116102620:-	chr9:116101506-116103263
POLR2F	NM_001301131.1	chr22:38349669-38437922:+	chr22:38348636-38351321
C22orf23	NM_032561.4	chr22:38339056-38349654:-	chr22:38348636-38351321
COL4A3BP	NM_005713.2	chr5:74666927-74807454:-	chr5:74804206-74809756
POLK	NM_001345921.1	chr5:74807574-74901645:+	chr5:74804206-74809756
TRMT61B	NM_017910.3	chr2:29072686-29093175:-	chr2:29090723-29094353
C11orf80	NM_001302084.1	chr11:66512206-66610987:+	chr11:66511066-66513886
EIF3E	NM_001568.2	chr8:109213971-109260959:-	chr8:109257396-109261856
DALRD3	NM_001009996.2	chr3:49052920-49056041:-	chr3:49054532-49061035
MIR425	NR_029948.1	chr3:49057580-49057667:-	chr3:49054532-49061035
NDUFAF3	NM_199074.1	chr3:49057907-49060928:+	chr3:49054532-49061035
MIR191	NR_029690.1	chr3:49058050-49058142:-	chr3:49054532-49061035
UBE2G2	NM_182688.2	chr21:46188494-46221751:-	chr21:46219941-46223025
LINC01424	NR_109928.1	chr21:46222155-46224632:+	chr21:46219941-46223025
ANO6	NM_001025356.2	chr12:45609769-45826134:+	chr12:45608447-45613497
PLEKHA8P1	NR_037144.1	chr12:45566816-45609789:-	chr12:45608447-45613497
CCDC84	NM_198489.2	chr11:118868842-118886503:+	chr11:118867507-118870353
RLIM	NM_183353.2	chrX:73802810-73834461:-	chrX:73832059-73835400
ZSCAN29	NM_152455.3	chr15:43650369-43662258:-	chr15:43661919-43664996
TUBGCP4	NM_014444.4	chr15:43663256-43699293:+	chr15:43661919-43664996
C15orf40	NM_001160116.1	chr15:83657714-83680393:-	chr15:83678956-83681564
FYCO1	NM_024513.3	chr3:45959390-46037316:-	chr3:46035905-46038012
RBCK1	NM_001323958.1	chr20:388693-412783:+	chr20:387521-391429
SLC25A26	NM_001164796.1	chr3:66271167-66429351:+	chr3:66270461-66272574
C1orf74	NM_152485.3	chr1:209952552-209958075:-	chr1:209956827-209958561
CMTR1	NM_015050.2	chr6:37400906-37449284:+	chr6:37400172-37402530
UBAP2	NM_001282529.1	chr9:33921690-34048947:-	chr9:34045873-34050258
C11orf71	NM_019021.3	chr11:114262169-114271272:-	chr11:114268788-114273498
RBM7	NM_001286048.1	chr11:114271250-114281332:+	chr11:114268788-114273498
DBF4B	NR_036623.1	chr17:42785975-42827917:+	chr17:42785323-42788276
C19orf70	NM_001308240.1	chr19:5678424-5680907:-	chr19:5678940-5681735
HSD11B1L	NM_198704.2	chr19:5680775-5688534:+	chr19:5678940-5681735
THAP7	NM_030573.2	chr22:21354060-21356404:-	chr22:21354514-21358589
THAP7-AS1	NR_027052.1	chr22:21356210-21357561:+	chr22:21354514-21358589
AARS2	NM_020745.3	chr6:44266462-44281063:-	chr6:44279314-44281539
CAPN10-AS1	NR_103792.1	chr2:241522166-241525733:-	chr2:241523717-241527741
CAPN10	NM_023085.3	chr2:241526132-241538526:+	chr2:241523717-241527741
GHITM	NM_014394.2	chr10:85899184-85913311:+	chr10:85898098-85901342
PARS2	NM_152268.3	chr1:55222570-55230226:-	chr1:55228876-55231349
LINC01128	NR_047524.1	chr1:762970-794826:+	chr1:761017-764679
LINC00115	NR_024321.1	chr1:761585-762902:-	chr1:761017-764679
NCOA2	NM_001321712.1	chr8:71021996-71315490:-	chr8:71313268-71317721
WDPCP	NM_015910.5	chr2:63348517-63815867:-	chr2:63813478-63818927
MDH1	NM_001316374.1	chr2:63815742-63834331:+	chr2:63813478-63818927
ZNF212	NM_012256.3	chr7:148936741-148952700:+	chr7:148935554-148938199
PDCD5	NM_004708.3	chr19:33072093-33078358:+	chr19:33071209-33073853
NCAPG2	NR_104054.1	chr7:158423860-158497522:-	chr7:158495087-158498726
ZRANB2-AS2	NR_046217.1	chr1:71547006-71703406:+	chr1:71544473-71547849
ZRANB2	NM_005455.4	chr1:71528973-71546972:-	chr1:71544473-71547849
PTRH1	NM_001002913.2	chr9:130475941-130477955:-	chr9:130476553-130478771
TTC16	NM_001317037.1	chr9:130478342-130493879:+	chr9:130476553-130478771
CCNA2	NM_001237.4	chr4:122737598-122745156:-	chr4:122742464-122745703
PLAG1	NM_002655.2	chr8:57073467-57123859:-	chr8:57121454-57123921
CHCHD7	NR_133937.1	chr8:57124196-57131357:+	chr8:57121454-57123921
RPL38	NM_001035258.1	chr17:72199794-72206019:+	chr17:72199141-72202779
DIAPH3	NM_001042517.1	chr13:60239716-60738119:-	chr13:60736061-60739519
CHMP1B	NM_020412.4	chr18:11851388-11854448:+	chr18:11849799-11854565
COMMD2	NR_135149.1	chr3:149456256-149470286:-	chr3:149468969-149471261
CRYBG3	NM_153605.3	chr3:97540883-97663830:+	chr3:97539764-97543017
SP4	NM_001326542.1	chr7:21467651-21554440:+	chr7:21466030-21469028
MYLK-AS1	NR_121654.1	chr3:123304359-123349668:+	chr3:123301712-123306022
HACD2	NM_001329787.1	chr3:123210394-123303464:-	chr3:123301712-123306022
SEPT7P9	NR_027269.1	chr10:38671996-38691780:-	chr10:38689922-38691900
SUGP2	NM_001017392.4	chr19:19101695-19144380:-	chr19:19142758-19145960
ARMC6	NM_033415.3	chr19:19144386-19168987:+	chr19:19142758-19145960
ELAC2	NM_018127.6	chr17:12894928-12921381:-	chr17:12919885-12922435
COPS4	NM_001258006.1	chr4:83956238-83996971:+	chr4:83954719-83957812
CYC1	NM_001916.4	chr8:145149937-145152430:+	chr8:145148450-145151557
MRPL20	NM_017971.3	chr1:1337275-1342693:-	chr1:1341172-1344356
GUCD1	NM_031444.3	chr22:24936390-24951275:-	chr22:24948325-24953807
SNRPD3	NM_001278656.1	chr22:24951617-24970932:+	chr22:24948325-24953807
ATF1	NM_005171.4	chr12:51157788-51214943:+	chr12:51155513-51160268
WASHC2C	NM_001169107.1	chr10:46222647-46288412:+	chr10:46221569-46224069
TRIM52	NM_032765.3	chr5:180682146-180688119:-	chr5:180685117-180689868
TRIM52-AS1	NR_102761.1	chr5:180688212-180691568:+	chr5:180685117-180689868
FTH1	NM_002032.2	chr11:61731756-61735132:-	chr11:61730952-61737655
HNRNPDL	NR_003249.2	chr4:83343716-83351378:-	chr4:83347494-83354516
ENOPH1	NR_120457.1	chr4:83351632-83382328:+	chr4:83347494-83354516
POMZP3	NM_012230.3	chr7:76239302-76256620:-	chr7:76254552-76257923
ZNF487	NR_026693.1	chr10:43932573-43978007:+	chr10:43930712-43933538
SNAI3-AS1	NR_024402.2	chr16:88729780-88741914:+	chr16:88727893-88730897
MVD	NM_002461.2	chr16:88718347-88729557:-	chr16:88727893-88730897
SC5D	NM_006918.4	chr11:121163387-121184119:+	chr11:121162585-121165172
EML6	NM_001039753.2	chr2:54952148-55199157:+	chr2:54949620-54952684
RPP25L	NM_148179.2	chr9:34610481-34612110:-	chr9:34610974-34613030
UNC45A	NM_001323619.1	chr15:91477849-91497323:+	chr15:91477718-91479854
HDDC3	NR_104447.1	chr15:91474147-91475799:-	chr15:91477718-91479854
DDX6	NM_001257191.2	chr11:118618471-118661657:-	chr11:118658660-118664003
PEX11A	NM_003847.2	chr15:90224761-90234015:-	chr15:90232681-90234689
WDR93	NM_001284396.1	chr15:90234027-90247709:+	chr15:90232681-90234689
HNRNPL	NM_001533.2	chr19:39327027-39340617:-	chr19:39341243-39344243
COMMD9	NM_001307937.1	chr11:36293841-36310999:-	chr11:36309636-36311722
ESCO1	NM_052911.2	chr18:19109261-19180693:-	chr18:19177623-19181567
NPEPPS	NM_006310.3	chr17:45608443-45700642:+	chr17:45607538-45611235
USP22	NM_015276.1	chr17:20902905-20946352:-	chr17:20943107-20946379
LOC101927365	NR_125843.1	chr6:99872746-99879191:+	chr6:99871035-99875335
PNISR	NM_001322406.1	chr6:99845926-99873221:-	chr6:99871035-99875335
RAB3GAP1	NM_012233.2	chr2:135809834-135928280:+	chr2:135808965-135812080
SGO1	NM_001199252.2	chr3:20202084-20227725:-	chr3:20225778-20229321
NAF1	NM_001128931.1	chr4:164047859-164088073:-	chr4:164085551-164088917
EIF5A	NM_001143760.1	chr17:7210317-7215782:+	chr17:7210802-7213587
ATP5SL	NM_001167867.1	chr19:41937222-41945481:-	chr19:41944625-41946273
RNASEH2C	NM_032193.3	chr11:65485143-65488409:-	chr11:65486356-65488411
SND1	NM_014390.3	chr7:127292042-127732661:+	chr7:127290901-127295574
GLB1	NM_001079811.2	chr3:33038099-33138324:-	chr3:33137015-33139785
TMPPE	NM_001039770.2	chr3:33131907-33138293:-	chr3:33137015-33139785
EIF2AK3	NM_001313915.1	chr2:88856257-88924447:-	chr2:88925409-88928651
LOC101928403	NR_135540.1	chr2:88927346-88931343:+	chr2:88925409-88928651
GCC1	NM_024523.5	chr7:127220681-127225654:-	chr7:127223676-127226250
ARF5	NM_001662.3	chr7:127228405-127231759:+	chr7:127223676-127226250
RNF103-CHMP3	NM_001198954.1	chr2:86730552-86948245:-	chr2:86945927-86950232
RMND5A	NM_022780.3	chr2:86947413-87005164:+	chr2:86945927-86950232
RPS16	NM_001020.5	chr19:39923776-39926660:-	chr19:39923225-39927739
MIGA1	NM_198549.3	chr1:78245308-78345225:+	chr1:78244645-78246436
SMARCAL1	NM_014140.3	chr2:217277136-217347776:+	chr2:217276386-217278229
THUMPD1	NM_017736.4	chr16:20744985-20753286:-	chr16:20751181-20753737
FAM86C2P	NR_024249.1	chr11:67559237-67572807:-	chr11:67571606-67574360
SFI1	NM_001258326.1	chr22:31892124-32014537:+	chr22:31891247-31893895
DNAJA2	NM_005880.3	chr16:46989273-47007625:-	chr16:47005296-47008619
ARHGAP5-AS1	NR_027263.1	chr14:32544624-32545905:-	chr14:32542992-32549512
ARHGAP5	NM_001173.2	chr14:32546494-32628934:+	chr14:32542992-32549512
FAM175B	NM_032182.3	chr10:126490353-126525239:+	chr10:126489677-126491643
ANO8	NM_020959.2	chr19:17434031-17445638:-	chr19:17446797-17450059
GTPBP3	NM_001195422.1	chr19:17445790-17453540:+	chr19:17446797-17450059
ANG	NM_001145.4	chr14:21152335-21162345:+	chr14:21148129-21154732
RNASE4	NM_001282193.1	chr14:21152371-21168761:+	chr14:21148129-21154732
ZZZ3	NM_015534.5	chr1:78028100-78148343:-	chr1:78145756-78150218
CENPE	NM_001813.2	chr4:104026962-104119566:-	chr4:104117945-104120395
COQ10B	NM_001320818.1	chr2:198318146-198340033:+	chr2:198316403-198320455
RPF1	NM_025065.6	chr1:84944919-84964033:+	chr1:84944165-84947302
CDC37L1-AS1	NR_121597.1	chr9:4676599-4679480:-	chr9:4678193-4681738
CDC37L1	NM_017913.3	chr9:4679552-4708399:+	chr9:4678193-4681738
TBPL1	NM_001253676.1	chr6:134273307-134308638:+	chr6:134272511-134276950
CEBPZOS	NM_001322375.1	chr2:37423603-37431886:+	chr2:37422947-37425184
PGLS	NM_012088.2	chr19:17622431-17632097:+	chr19:17620299-17623940
MORF4L1	NM_001265603.1	chr15:79165122-79190081:+	chr15:79164534-79169921
SRP19	NM_001204196.1	chr5:112196884-112204089:+	chr5:112195927-112199681
EIF2B2	NM_014239.3	chr14:75469611-75476294:+	chr14:75468734-75471291
ZNF778	NR_037705.1	chr16:89284110-89295965:+	chr16:89282745-89285809
SPRED2	NM_181784.2	chr2:65537984-65659656:-	chr2:65656387-65661282
TACO1	NM_016360.3	chr17:61678230-61685725:+	chr17:61677660-61679609
LOC101928902	NR_134307.1	chr8:145592595-145596538:-	chr8:145597650-145599069
ADCK5	NM_174922.4	chr8:145597703-145618457:+	chr8:145597650-145599069
ANKFY1	NM_001257999.2	chr17:4067111-4167142:-	chr17:4165802-4168194
PEX19	NM_002857.3	chr1:160246598-160254941:-	chr1:160253598-160255988
UQCRFS1	NM_006003.2	chr19:29698166-29704136:-	chr19:29702118-29704839
UFD1L	NM_005659.6	chr22:19437463-19466738:-	chr22:19464592-19468958
CDC45	NM_001178011.2	chr22:19467348-19508135:+	chr22:19464592-19468958
ZER1	NM_006336.3	chr9:131492064-131534213:-	chr9:131532824-131535191
C2orf15	NM_144706.3	chr2:99758075-99767950:+	chr2:99756214-99759300
RAB3GAP2	NM_012414.3	chr1:220321609-220445843:-	chr1:220443658-220446613
SENP6	NM_001100409.2	chr6:76311224-76428001:+	chr6:76310524-76314363
SART1	NM_005146.4	chr11:65729159-65747607:+	chr11:65728252-65730974
MBNL1	NM_001314057.1	chr3:151986256-152183569:+	chr3:151984982-151991091
MBNL1-AS1	NR_027038.1	chr3:151980404-151987415:-	chr3:151984982-151991091
ZNF720	NM_001130913.1	chr16:31724549-31772886:+	chr16:31724066-31726377
SUMF1	NM_182760.3	chr3:4402828-4508966:-	chr3:4507688-4509487
ATG2B	NM_018036.6	chr14:96745538-96829738:-	chr14:96827533-96831716
GSKIP	NM_001271906.1	chr14:96829788-96853627:+	chr14:96827533-96831716
KPNA4	NM_002268.4	chr3:160212782-160283376:-	chr3:160280642-160285333
RPL24	NM_000986.3	chr3:101399933-101405563:-	chr3:101402118-101407471
EEF1A1	NM_001402.5	chr6:74225472-74230755:-	chr6:74224905-74234312
EFHC1	NM_018100.3	chr6:52284993-52360583:+	chr6:52284050-52286934
TMBIM4	NM_001282606.1	chr12:66530715-66563852:-	chr12:66561418-66564811
ATF6	NM_007348.3	chr1:161736033-161933860:+	chr1:161734258-161738180
LZTR1	NM_006767.3	chr22:21336557-21353326:+	chr22:21335466-21337723
CCDC124	NM_001136203.1	chr19:18043823-18054794:+	chr19:18042818-18045072
HSF1	NM_005526.3	chr8:145515250-145538389:+	chr8:145513197-145517239
RPL11	NM_001199802.1	chr1:24018268-24022915:+	chr1:24017616-24021928
HPS3	NM_001308258.1	chr3:148847370-148890983:+	chr3:148846393-148849990
UVRAG	NM_003369.3	chr11:75526211-75855282:+	chr11:75524865-75528675
LOC100506113	NR_144531.1	chr11:75524558-75525842:-	chr11:75524865-75528675
SMYD4	NM_052928.2	chr17:1682828-1733175:-	chr17:1731909-1734708
RPA1	NM_002945.3	chr17:1733272-1802848:+	chr17:1731909-1734708
RPLP1	NM_213725.1	chr15:69745158-69747884:+	chr15:69743290-69748296
MFSD14A	NM_033055.2	chr1:100503788-100548933:+	chr1:100501398-100506325
TMEM203	NM_053045.1	chr9:140098533-140100090:-	chr9:140098394-140101602
NDOR1	NM_001144027.2	chr9:140100118-140113813:+	chr9:140098394-140101602
IMMT	NM_006839.2	chr2:86371054-86422893:-	chr2:86420436-86424651
MIR4779	NR_039939.1	chr2:86420148-86420231:-	chr2:86420436-86424651
MRPL35	NM_145644.2	chr2:86426555-86440477:+	chr2:86420436-86424651
ZNF92	NM_001287534.1	chr7:64838711-64866048:+	chr7:64838453-64841187
PARL	NR_136893.1	chr3:183547172-183602696:-	chr3:183600306-183603389
MIR4448	NR_039650.1	chr3:183604587-183604673:+	chr3:183600306-183603389
PCBP2	NM_001128914.1	chr12:53845885-53874946:+	chr12:53845717-53848687
EIF4B	NM_001330654.1	chr12:53400041-53435999:+	chr12:53398483-53404389
CACUL1	NM_153810.4	chr10:120440493-120514758:-	chr10:120511980-120515806
RTN3	NM_001265591.1	chr11:63448921-63527363:+	chr11:63447988-63451686
FNBP1L	NM_017737.4	chr1:93913687-94020218:+	chr1:93912188-93915758
SECISBP2L	NM_001193489.1	chr15:49280834-49338760:-	chr15:49336188-49339428
C1orf123	NM_017887.2	chr1:53679770-53686311:-	chr1:53685038-53687079
C9orf116	NM_001048265.1	chr9:138387025-138391761:-	chr9:138390962-138394132
MRPS2	NM_016034.4	chr9:138392476-138396519:+	chr9:138390962-138394132
MTIF3	NM_001166262.1	chr13:28009775-28024326:-	chr13:28022693-28026744
RAD52	NR_123713.1	chr12:1020901-1058888:-	chr12:1057126-1059837
ARL16	NR_138060.1	chr17:79648194-79650743:-	chr17:79649059-79652805
