HUGO_symbol	transcript	gene_coordinate	assigned_peak
PARVA	NM_018222.4	chr11:12399025-12556903:+	chr11:12397233-12401572
TRIM65	NM_173547.3	chr17:73885040-73893084:-	chr17:73890770-73893864
ZNF669	NM_024804.2	chr1:247263263-247267674:-	chr1:247266118-247269102
FBXO31	NM_024735.4	chr16:87360592-87417399:-	chr16:87414555-87428714
MAP1LC3B	NM_022818.4	chr16:87425800-87438380:+	chr16:87414555-87428714
CTTN	NM_001184740.1	chr11:70244611-70282690:+	chr11:70242257-70250575
LINC01534	NR_110707.1	chr19:37176340-37178351:-	chr19:37177013-37179751
ZNF567	NM_001322911.1	chr19:37178513-37212238:+	chr19:37177013-37179751
MAP2K2	NM_030662.3	chr19:4090318-4124126:-	chr19:4122436-4125108
SERF1B	NM_022978.2	chr5:69321077-69338935:+	chr5:69320355-69322264
KIAA1522	NM_001198973.1	chr1:33231234-33240571:+	chr1:33218771-33229785
BHMG1	NM_001310124.1	chr19:46236508-46267797:+	chr19:46231319-46235332
MTHFS	NR_037654.1	chr15:80135888-80189339:-	chr15:80187457-80192879
MYO1C	NM_001080950.1	chr17:1367479-1389051:-	chr17:1385252-1397560
RMDN3	NM_001323895.1	chr15:41028081-41047534:-	chr15:41046126-41050341
ABCD3	NM_001122674.1	chr1:94883932-94944260:+	chr1:94880582-94885945
TESK1	NM_001318230.1	chr9:35605280-35610038:+	chr9:35602972-35606472
MIR4667	NR_039813.2	chr9:35608090-35608156:+	chr9:35602972-35606472
NDFIP1	NM_030571.3	chr5:141488323-141534008:+	chr5:141487728-141490681
LGALS1	NM_002305.3	chr22:38071612-38075809:+	chr22:38069736-38074634
ZNF841	NM_001136499.1	chr19:52567718-52599018:-	chr19:52597511-52600333
PNPT1	NM_033109.4	chr2:55861197-55921045:-	chr2:55918775-55922796
C11orf80	NM_001302084.1	chr11:66512206-66610987:+	chr11:66510214-66514106
PPP1R3D	NM_006242.3	chr20:58511886-58515352:-	chr20:58512282-58517385
FAM217B	NM_001190827.1	chr20:58515443-58523702:+	chr20:58512282-58517385
RPL39L	NM_052969.1	chr3:186838740-186857263:-	chr3:186855914-186858128
PCLAF	NR_109934.1	chr15:64657192-64679886:-	chr15:64678601-64681449
TRIP4	NR_135855.1	chr15:64680002-64747502:+	chr15:64678601-64681449
YWHAQ	NM_006826.3	chr2:9724095-9771184:-	chr2:9766429-9773640
LOC100287896	NM_001319240.1	chr11:74204429-74209578:+	chr11:74202675-74205704
LIPT2	NM_001329941.1	chr11:74201555-74204758:-	chr11:74202675-74205704
CDC25A	NM_001789.2	chr3:48198667-48229801:-	chr3:48227569-48231077
TMEM161B	NM_001289007.1	chr5:87485449-87564696:-	chr5:87562341-87566768
TMEM161B-AS1	NR_039995.1	chr5:87564698-87732491:+	chr5:87562341-87566768
CRY2	NM_001127457.2	chr11:45868668-45904799:+	chr11:45868032-45870635
CCDC150	NM_001080539.1	chr2:197504355-197597530:+	chr2:197503614-197505555
ACTN1	NM_001130004.1	chr14:69340839-69446083:-	chr14:69440620-69452432
ACTN1-AS1	NR_073422.1	chr14:69446398-69454180:+	chr14:69440620-69452432
GUF1	NM_001345869.1	chr4:44680411-44702697:+	chr4:44676964-44683234
ZNF789	NM_001013258.1	chr7:99070514-99079949:+	chr7:99067665-99077365
NSFP1	NR_033799.1	chr17_ctg5_hap1:330260-380553:-	chr17_ctg5_hap1:379275-381505
SRSF8	NM_032102.3	chr11:94800040-94804387:+	chr11:94796842-94803421
HERPUD1	NM_001010989.2	chr16:56966001-56977793:+	chr16:56963333-56974640
LCA5	NM_181714.3	chr6:80194707-80247147:-	chr6:80245593-80249948
NECTIN2	NM_002856.2	chr19:45349392-45382198:+	chr19:45346726-45356402
RANBP9	NM_005493.2	chr6:13621729-13711796:-	chr6:13707437-13713965
GLCE	NM_001324091.1	chr15:69452935-69559977:+	chr15:69451500-69454576
PTCH1	NM_001083607.1	chr9:98205263-98269481:-	chr9:98266525-98275999
LOC105377763	NR_134260.1	chr5:179084762-179101296:+	chr5:179084095-179086297
SH2D5	NM_001103161.1	chr1:21046224-21059133:-	chr1:21057147-21063010
RDH14	NM_020905.3	chr2:18735988-18741959:-	chr2:18739891-18742663
RAP2B	NM_002886.3	chr3:152880000-152888413:+	chr3:152875589-152886175
ZNF718	NR_110529.1	chr4:124357-157949:+	chr4:123770-126447
MED12	NM_005120.2	chrX:70338405-70362304:+	chrX:70337488-70339743
PDLIM7	NR_103804.1	chr5:176910394-176924606:-	chr5:176919378-176926035
ZNF211	NM_001265600.2	chr19:58144534-58155414:+	chr19:58144235-58145373
GLYR1	NM_032569.3	chr16:4853203-4897303:-	chr16:4895968-4900419
UBN1	NM_001079514.2	chr16:4897631-4932402:+	chr16:4895968-4900419
RAD54B	NM_012415.3	chr8:95384187-95487343:-	chr8:95485582-95488638
BORA	NM_001286747.1	chr13:73301886-73330336:+	chr13:73300143-73303934
MZT1	NM_001071775.2	chr13:73282494-73301938:-	chr13:73300143-73303934
ECHDC1	NM_001139510.1	chr6:127609856-127663552:-	chr6:127661603-127669936
KLHL28	NM_001308112.1	chr14:45393512-45430335:-	chr14:45428378-45433854
FAM179B	NR_131765.1	chr14:45431392-45543634:+	chr14:45428378-45433854
GTF3A	NM_002097.2	chr13:27998680-28009846:+	chr13:27997402-28003865
PEA15	NR_123724.1	chr1:160175108-160185166:+	chr1:160173406-160180056
LOC729867	NR_123725.1	chr1:160171988-160178659:-	chr1:160173406-160180056
MIR3146	NR_036101.1	chr7:19744980-19745059:-	chr7:19744991-19749671
TWISTNB	NM_001002926.1	chr7:19735084-19748660:-	chr7:19744991-19749671
PAWR	NM_002583.2	chr12:79985744-80084790:-	chr12:80075857-80088623
ABHD11-AS1	NR_026690.1	chr7:73149398-73150330:+	chr7:73148959-73163153
ABHD11	NM_001321383.1	chr7:73150423-73153197:-	chr7:73148959-73163153
ZNF235	NM_004234.4	chr19:44790500-44809178:-	chr19:44807483-44809547
MRPL58	NM_001303265.1	chr17:73008758-73017356:+	chr17:73004723-73011380
UEVLD	NM_001040697.2	chr11:18552949-18610293:-	chr11:18607952-18612832
SCARNA2	NR_003023.1	chr1:109642814-109643234:+	chr1:109641904-109647196
IGF2BP2	NM_001291872.2	chr3:185360918-185538919:-	chr3:185528125-185544843
KIAA0430	NM_014647.3	chr16:15688225-15737023:-	chr16:15732058-15747496
NDE1	NM_001143979.1	chr16:15737123-15820210:+	chr16:15732058-15747496
MIR484	NR_030159.1	chr16:15737150-15737229:+	chr16:15732058-15747496
SAT2	NM_001320845.1	chr17:7529551-7531194:-	chr17:7530005-7531880
SHBG	NM_001289115.1	chr17:7531286-7536701:+	chr17:7530005-7531880
PYGB	NM_002862.3	chr20:25228705-25278648:+	chr20:25201007-25237797
POMT2	NM_013382.5	chr14:77741298-77787225:-	chr14:77778809-77789242
GSTZ1	NM_145871.2	chr14:77787229-77797940:+	chr14:77778809-77789242
ANKRD50	NM_020337.2	chr4:125585202-125633887:-	chr4:125629658-125636647
MESDC2	NR_126327.1	chr15:81239666-81282219:-	chr15:81280328-81284904
MKNK2	NM_199054.2	chr19:2037469-2051243:-	chr19:2046694-2067056
RNY4	NR_004393.1	chr7:148660406-148660502:+	chr7:148659637-148661948
CACNB3	NM_001206917.1	chr12:49208214-49222726:+	chr12:49207631-49210144
NEK4	NM_003157.4	chr3:52744795-52804965:-	chr3:52803915-52806215
SGO2	NM_001160046.1	chr2:201390864-201445391:+	chr2:201390139-201393258
TAOK2	NM_001252043.1	chr16:29985187-29999726:+	chr16:29983837-29987900
HRAT5	NR_104613.1	chr5:269670-271639:-	chr5:269141-274218
PDCD6	NR_073609.1	chr5:271735-277055:+	chr5:269141-274218
USP49	NM_018561.4	chr6:41765382-41863099:-	chr6:41862044-41864978
CASP8AP2	NM_001137668.1	chr6:90539618-90584155:+	chr6:90538005-90541699
LOC100996251	NR_103777.1	chr1:113554308-113615724:-	chr1:113613187-113617713
LRIG2	NM_014813.2	chr1:113615791-113667824:+	chr1:113613187-113617713
LOC101928739	NR_125401.1	chr3:178819158-178865761:-	chr3:178864613-178869281
PIK3CA	NM_006218.3	chr3:178866310-178957881:+	chr3:178864613-178869281
STK38	NM_007271.3	chr6:36461658-36515293:-	chr6:36511481-36516763
HMGA1	NM_001319081.1	chr6:34204576-34214008:+	chr6:34201766-34218194
MIR6835	NR_106893.1	chr6:34208449-34208513:+	chr6:34201766-34218194
C6orf1	NM_178508.4	chr6:34214156-34216885:-	chr6:34201766-34218194
ATP1A1	NM_000701.7	chr1:116915794-116947396:+	chr1:116914093-116925962
PAXBP1	NR_027873.1	chr21:34106209-34144169:-	chr21:34140897-34145829
C21orf62-AS1	NR_024623.1	chr21:34144410-34170017:+	chr21:34140897-34145829
C12orf43	NM_001286198.1	chr12:121440224-121454305:-	chr12:121453019-121454989
MDM4	NM_001204172.1	chr1:204485506-204527248:+	chr1:204480540-204496332
GEMIN5	NM_015465.4	chr5:154266975-154317776:-	chr5:154319974-154324176
MRPL22	NM_001014990.2	chr5:154320632-154348971:+	chr5:154319974-154324176
CSNK1D	NM_139062.2	chr17:80200536-80231594:-	chr17:80229741-80262428
LINC01970	NR_135639.1	chr17:80247921-80250690:-	chr17:80229741-80262428
PIGH	NM_004569.3	chr14:68056022-68067017:-	chr14:68064983-68067736
YWHAB	NM_139323.3	chr20:43514239-43537173:+	chr20:43510481-43516393
RAP2C	NM_021183.4	chrX:131337051-131352189:-	chrX:131349211-131354015
RAP2C-AS1	NR_110410.1	chrX:131352534-131566839:+	chrX:131349211-131354015
RBM27	NM_018989.1	chr5:145583162-145668786:+	chr5:145580441-145586431
ZNF25	NR_138069.1	chr10:38238499-38264908:-	chr10:38263852-38266583
MOAP1	NM_022151.4	chr14:93648540-93651249:-	chr14:93649587-93653848
TMEM251	NM_015676.1	chr14:93651295-93653431:+	chr14:93649587-93653848
LOC105374988	NR_134611.1	chr6:26569551-26574926:+	chr6:26567847-26573277
GPX8	NM_001306201.1	chr5:54455945-54463129:+	chr5:54455230-54458179
TBC1D32	NR_104452.1	chr6:121400639-121655646:-	chr6:121650494-121657091
CATSPER2P1	NR_002318.2	chr15:44028131-44038496:-	chr15:44037075-44043229
PDIA3	NM_005313.4	chr15:44038589-44064804:+	chr15:44037075-44043229
NRBF2	NM_001282405.1	chr10:64893006-64914791:+	chr10:64892220-64899505
CLTA	NM_001311203.1	chr9:36190852-36212059:+	chr9:36186292-36195126
RPS15A	NM_001019.4	chr16:18794276-18801656:-	chr16:18798265-18805542
MIR1307	NR_031707.1	chr10:105154009-105154158:-	chr10:105152636-105157944
USMG5	NM_001206427.1	chr10:105148806-105156270:-	chr10:105152636-105157944
PDCD11	NM_014976.1	chr10:105156411-105206019:+	chr10:105152636-105157944
MAMSTR	NM_182574.2	chr19:49216254-49220214:-	chr19:49222525-49225037
ZBTB2	NM_020861.2	chr6:151685249-151712835:-	chr6:151706053-151715052
DHRS12	NM_001270424.1	chr13:52342128-52378298:-	chr13:52374745-52379648
RPS25	NM_001028.2	chr11:118886421-118889057:-	chr11:118886913-118896948
TRAPPC4	NM_001318494.1	chr11:118889178-118894384:+	chr11:118886913-118896948
MIR3656	NR_037429.1	chr11:118889653-118889722:+	chr11:118886913-118896948
GMNN	NM_001251990.1	chr6:24775158-24786327:+	chr6:24773532-24782642
SLC35C2	NM_001281460.1	chr20:44978166-44993097:-	chr20:44985798-44993871
ATXN10	NM_001167621.1	chr22:46067677-46241187:+	chr22:46066807-46070880
ATF1	NM_005171.4	chr12:51157788-51214943:+	chr12:51154251-51164743
TUBGCP6	NM_020461.3	chr22:50656117-50683400:-	chr22:50679761-50684626
EPHA2	NM_004431.4	chr1:16450831-16482604:-	chr1:16463529-16496166
ARF1	NM_001658.3	chr1:228270360-228286913:+	chr1:228268292-228278710
KIAA1586	NM_001286275.1	chr6:56911329-56920037:+	chr6:56910235-56915074
FAM98A	NM_015475.4	chr2:33808727-33824429:-	chr2:33821688-33825629
MTHFD1L	NM_015440.4	chr6:151186814-151423023:+	chr6:151174903-151190097
MAST2	NM_001324320.1	chr1:46269278-46501796:+	chr1:46267178-46271273
BBX	NM_001276286.1	chr3:107241782-107530176:+	chr3:107240528-107245316
DNAJC10	NR_073367.1	chr2:183580767-183644752:+	chr2:183578641-183584289
DONSON	NM_017613.3	chr21:34949856-34961014:-	chr21:34958802-34962647
OXLD1	NR_130939.1	chr17:79632065-79633176:-	chr17:79628982-79635781
CCDC137	NM_199287.2	chr17:79633760-79640937:+	chr17:79628982-79635781
SLC35B3	NR_109914.1	chr6:8413299-8435800:-	chr6:8433469-8440323
LOC100506207	NR_038979.1	chr6:8435855-8712526:+	chr6:8433469-8440323
NOA1	NM_032313.3	chr4:57829509-57843826:-	chr4:57840240-57850455
POLR2B	NM_001303268.1	chr4:57844805-57897328:+	chr4:57840240-57850455
CUTA	NM_015921.2	chr6:33384318-33386065:-	chr6:33383346-33388791
SYNGAP1	NM_001130066.1	chr6:33387846-33421466:+	chr6:33383346-33388791
SIRT4	NM_012240.2	chr12:120740123-120751045:+	chr12:120739426-120741025
PCBP2	NM_001128914.1	chr12:53845885-53874946:+	chr12:53844892-53850068
KDM3B	NM_016604.3	chr5:137688284-137772716:+	chr5:137687766-137691212
ANAPC4	NM_013367.2	chr4:25378847-25420120:+	chr4:25377899-25380228
LOC101927780	NR_110417.1	chr14:62022989-62036912:-	chr14:62012698-62057655
FLJ22447	NR_039985.1	chr14:62037257-62121431:+	chr14:62012698-62057655
RAB35	NM_006861.6	chr12:120532898-120554643:-	chr12:120552943-120558435
LINC00526	NR_026849.1	chr18:5236722-5238028:-	chr18:5235987-5240132
LINC00667	NR_015389.1	chr18:5238098-5246507:+	chr18:5235987-5240132
LINC01410	NR_121647.1	chr9:66457288-66469310:+	chr9:66454599-66459615
REEP3	NM_001001330.2	chr10:65281122-65384883:+	chr10:65272972-65285692
JMJD1C	NM_001318154.1	chr10:64926980-65281835:-	chr10:65272972-65285692
EHD1	NM_006795.3	chr11:64620198-64646240:-	chr11:64640802-64648963
CYB5R4	NM_016230.3	chr6:84569369-84670146:+	chr6:84569276-84571013
SMARCA4	NM_003072.3	chr19:11071597-11172958:+	chr19:11069959-11075659
RNVU1-15	NR_104076.1	chr1:148604907-148605072:-	chr1:148602524-148607374
SNX29	NM_032167.4	chr16:12070590-12668146:+	chr16:12069254-12072609
FAM189B	NM_006589.2	chr1:155216995-155225274:-	chr1:155223506-155226269
CDK5RAP1	NM_016408.3	chr20:31946644-31989375:-	chr20:31987458-31990380
SNAPC1	NM_003082.3	chr14:62229074-62263146:+	chr14:62227646-62233220
RTEL1	NM_001283010.1	chr20:62289162-62327606:+	chr20:62287520-62292685
RTEL1-TNFRSF6B	NR_037882.1	chr20:62289162-62330051:+	chr20:62287520-62292685
ITGA7	NM_001144997.1	chr12:56078351-56106089:-	chr12:56105608-56126584
BLOC1S1	NR_037655.1	chr12:56109817-56113491:+	chr12:56105608-56126584
BLOC1S1-RDH5	NR_037658.1	chr12:56109817-56118526:+	chr12:56105608-56126584
RDH5	NM_002905.3	chr12:56114150-56118526:+	chr12:56105608-56126584
CD63	NM_001257401.1	chr12:56119226-56121572:-	chr12:56105608-56126584
VBP1	NM_001303543.1	chrX:154444549-154468122:+	chrX:154443445-154447152
GUK1	NM_001242839.1	chr1:228327784-228336656:+	chr1:228323676-228331240
TMEM261	NM_001318058.1	chr9:7796489-7799806:-	chr9:7798305-7800773
ATRX	NM_000489.4	chrX:76760355-77041755:-	chrX:77039966-77044426
MMGT1	NM_173470.2	chrX:135042746-135056222:-	chrX:135054945-135059219
PPFIBP1	NM_001198915.1	chr12:27677044-27848497:+	chr12:27673451-27681940
OTUD4	NM_017493.6	chr4:146080288-146095896:-	chr4:146096608-146104688
LBR	NM_002296.3	chr1:225589203-225615815:-	chr1:225609956-225618487
PEX5	NM_001131026.1	chr12:7341758-7371170:+	chr12:7340692-7344131
PUS3	NM_031307.3	chr11:125763379-125773116:-	chr11:125771861-125773152
DDX25	NM_001330438.1	chr11:125773270-125793299:+	chr11:125771861-125773152
CRYM-AS1	NR_026675.1	chr16:21312169-21329912:+	chr16:21310774-21315524
CRYM	NM_001888.4	chr16:21269838-21314457:-	chr16:21310774-21315524
SLC38A9	NM_173514.3	chr5:54921672-55008163:-	chr5:55007223-55009498
TEPSIN	NM_144679.2	chr17:79202076-79212891:-	chr17:79211899-79214842
NDUFAF8	NM_001086521.1	chr17:79213110-79215098:+	chr17:79211899-79214842
AMER1	NM_152424.3	chrX:63404996-63425624:-	chrX:63424305-63427514
PTOV1	NR_130963.1	chr19:50353991-50364001:+	chr19:50350595-50355686
PTOV1-AS1	NR_040037.1	chr19:50341901-50354933:-	chr19:50350595-50355686
MIR4749	NR_039904.2	chr19:50357847-50357908:+	chr19:50350595-50355686
CDK8	NM_001346501.1	chr13:26828240-26979375:+	chr13:26827312-26830647
ATRN	NM_001207047.2	chr20:3451664-3596691:+	chr20:3450486-3452969
SLC35D1	NM_015139.2	chr1:67465014-67520080:-	chr1:67516448-67520637
CENPC	NM_001812.2	chr4:68337988-68411256:-	chr4:68408605-68413052
MRPS36	NM_033281.5	chr5:68513572-68525985:+	chr5:68511306-68515123
RANBP6	NM_012416.3	chr9:6011018-6015640:-	chr9:6013517-6016499
USP18	NM_017414.3	chr22:18632757-18660164:+	chr22:18631570-18634274
UBQLN2	NM_013444.3	chrX:56590025-56593443:+	chrX:56588209-56592643
SH3YL1	NR_104227.1	chr2:218135-261130:-	chr2:262169-266744
ACP1	NM_001040649.2	chr2:264868-272481:+	chr2:262169-266744
LOC105376365	NR_134490.1	chr10:3876141-3876920:+	chr10:3865479-3874074
MAPRE1	NM_012325.2	chr20:31407698-31438211:+	chr20:31406752-31414095
NKAP	NM_024528.3	chrX:119059012-119077735:-	chrX:119075850-119078539
SPTSSA	NM_138288.3	chr14:34902143-34931468:-	chr14:34929585-34932518
NUP155	NM_004298.3	chr5:37291734-37371228:-	chr5:37365445-37372279
DLGAP4	NM_001042486.3	chr20:35089817-35157040:+	chr20:35088278-35098907
PSMB7	NM_002799.3	chr9:127115743-127177752:-	chr9:127168555-127178343
ALKBH3	NM_139178.3	chr11:43902356-43941825:+	chr11:43901520-43903278
ASNS	NM_133436.3	chr7:97481428-97501477:-	chr7:97499877-97503342
TECPR2	NM_001172631.2	chr14:102829248-102932008:+	chr14:102827674-102830775
CINP	NM_032630.2	chr14:102814618-102829253:-	chr14:102827674-102830775
TMEM116	NM_001294314.1	chr12:112369085-112451023:-	chr12:112442617-112454152
ERP29	NM_001034025.1	chr12:112451151-112461024:+	chr12:112442617-112454152
HNRNPM	NM_001297418.1	chr19:8509711-8554002:+	chr19:8508549-8515843
NEDD8	NM_006156.2	chr14:24686056-24701576:-	chr14:24696518-24703690
NEDD8-MDP1	NM_001199823.2	chr14:24683142-24701591:-	chr14:24696518-24703690
GMPR2	NM_001002001.2	chr14:24701627-24708448:+	chr14:24696518-24703690
GMEB2	NM_012384.4	chr20:62218946-62258454:-	chr20:62256104-62264113
LOC100505771	NR_132418.1	chr20:62258587-62260061:+	chr20:62256104-62264113
ARMCX3	NM_177947.2	chrX:100878119-100882831:+	chrX:100877254-100879611
MED27	NM_004269.3	chr9:134735496-134955274:-	chr9:134953005-134955715
HIST1H2AL	NM_003511.2	chr6:27833106-27833576:+	chr6:27828387-27867138
HIST1H1B	NM_005322.2	chr6:27834569-27835359:-	chr6:27828387-27867138
HIST1H3I	NM_003533.2	chr6:27839622-27840099:-	chr6:27828387-27867138
HIST1H4L	NM_003546.2	chr6:27840925-27841289:-	chr6:27828387-27867138
HIST1H3J	NM_003535.2	chr6:27858092-27858570:-	chr6:27828387-27867138
HIST1H2AM	NM_003514.2	chr6:27860476-27860963:-	chr6:27828387-27867138
HIST1H2BO	NM_003527.4	chr6:27861202-27861669:+	chr6:27828387-27867138
PLEKHM2	NM_015164.2	chr1:16010826-16061264:+	chr1:16003596-16012914
FASTK	NM_006712.4	chr7:150773707-150777970:-	chr7:150773635-150781371
TMUB1	NM_031434.3	chr7:150778171-150780413:-	chr7:150773635-150781371
AGAP3	NM_001281300.1	chr7:150782917-150841523:+	chr7:150773635-150781371
C17orf75	NM_022344.3	chr17:30655459-30669228:-	chr17:30667931-30670839
HSPA4L	NM_001317381.1	chr4:128702975-128755228:+	chr4:128702133-128706738
RSAD1	NR_130911.1	chr17:48556160-48563341:+	chr17:48554995-48557919
LOC101928725	NR_135474.1	chr15:59060270-59063173:-	chr15:59061521-59067025
FAM63B	NM_001040450.2	chr15:59063390-59154099:+	chr15:59061521-59067025
ZNF799	NM_001322497.1	chr19:12500827-12511794:-	chr19:12510062-12512729
EML6	NM_001039753.2	chr2:54952148-55199157:+	chr2:54949229-54951822
CD59	NM_203330.2	chr11:33724555-33758025:-	chr11:33753072-33760188
YTHDF1	NM_017798.3	chr20:61826780-61847538:-	chr20:61845576-61849234
RSU1	NM_012425.3	chr10:16632614-16859453:-	chr10:16857919-16862353
LOC100128164	NR_027622.1	chr3:169661771-169684522:-	chr3:169680647-169686522
SEC62	NM_003262.3	chr3:169684579-169716161:+	chr3:169680647-169686522
AP4S1	NM_001254729.1	chr14:31494311-31565656:+	chr14:31492129-31504713
STRN3	NM_001083893.1	chr14:31363004-31495607:-	chr14:31492129-31504713
CDK20	NM_178432.3	chr9:90581355-90589695:-	chr9:90588063-90590699
CDKN3	NM_001330173.1	chr14:54863585-54886936:+	chr14:54862893-54866430
RHOT1	NM_001288755.1	chr17:30469472-30552790:+	chr17:30467120-30472615
LOC105371730	NR_136413.1	chr17:30468244-30470154:-	chr17:30467120-30472615
ELMOD2	NM_153702.3	chr4:141445311-141474924:+	chr4:141444799-141446618
DENR	NM_003677.4	chr12:123237367-123255611:+	chr12:123232768-123239217
TMEM131	NM_015348.1	chr2:98372798-98612354:-	chr2:98609968-98615308
IFIH1	NM_022168.3	chr2:163123588-163175218:-	chr2:163172944-163178214
GCA	NM_001330265.1	chr2:163175272-163219618:+	chr2:163172944-163178214
TIMM8A	NM_001145951.1	chrX:100603025-100603708:-	chrX:100600880-100605272
ANXA4	NM_001320698.1	chr2:69870936-70053609:+	chr2:69868481-69880848
AAK1	NM_014911.3	chr2:69685126-69870977:-	chr2:69868481-69880848
BRPF3	NM_015695.2	chr6:36164549-36200567:+	chr6:36163291-36166243
MUC1	NM_001204286.1	chr1:155158299-155162706:-	chr1:155156136-155167569
MIR92B	NR_030281.1	chr1:155164967-155165063:+	chr1:155156136-155167569
FUT8	NM_178156.2	chr14:65877309-66210839:+	chr14:65876573-65882279
FUT8-AS1	NR_024334.1	chr14:65877309-65879335:-	chr14:65876573-65882279
MVB12A	NM_138401.3	chr19:17530655-17536148:+	chr19:17528932-17531978
GLRX2	NM_197962.2	chr1:193065594-193074608:-	chr1:193071143-193075861
TRAPPC2	NM_001011658.3	chrX:13730360-13752754:-	chrX:13750078-13755830
OFD1	NM_001330209.1	chrX:13752831-13787472:+	chrX:13750078-13755830
INO80B	NM_031288.3	chr2:74682149-74685087:+	chr2:74681342-74686964
INO80B-WBP1	NR_037849.1	chr2:74682149-74688018:+	chr2:74681342-74686964
WBP1	NM_012477.3	chr2:74685526-74688018:+	chr2:74681342-74686964
SHKBP1	NM_138392.3	chr19:41082756-41097305:+	chr19:41081786-41084643
DIS3L	NM_001323936.1	chr15:66585594-66626236:+	chr15:66584464-66589254
USF3	NM_001009899.3	chr3:113367231-113415493:-	chr3:113413841-113418512
ALKBH1	NM_006020.2	chr14:78138748-78174356:-	chr14:78172777-78177059
SLIRP	NM_001267863.1	chr14:78174413-78183941:+	chr14:78172777-78177059
ETFA	NM_000126.3	chr15:76508627-76603810:-	chr15:76601501-76608001
ORC4	NM_001190882.2	chr2:148687965-148778306:-	chr2:148776287-148782062
MBD5	NM_018328.4	chr2:148778579-149271046:+	chr2:148776287-148782062
NEMP1	NM_001130963.1	chr12:57449425-57472574:-	chr12:57469995-57475049
GYS1	NM_002103.4	chr19:49471381-49496610:-	chr19:49491631-49498927
RUVBL2	NM_001321191.1	chr19:49496704-49519252:+	chr19:49491631-49498927
FAM76A	NM_001143915.1	chr1:28052489-28089426:+	chr1:28050106-28054061
ZNF224	NM_013398.3	chr19:44598481-44613983:+	chr19:44597695-44600132
DOLPP1	NR_072983.1	chr9:131843382-131852717:+	chr9:131842368-131844859
RNF219	NM_024546.3	chr13:79188420-79233314:-	chr13:79231239-79234993
HIPSTR	NR_145448.1	chr6:10404734-10408160:+	chr6:10394841-10421636
TFAP2A-AS1	NR_033910.1	chr6:10412550-10416402:+	chr6:10394841-10421636
TFAP2A	NM_001032280.2	chr6:10396915-10412607:-	chr6:10394841-10421636
ITCH	NM_001257138.2	chr20:32951040-33099578:+	chr20:32948608-32954635
PEX6	NR_133009.1	chr6:42931610-42946981:-	chr6:42944998-42948520
MTRNR2L2	NM_001190470.1	chr5:79945818-79946854:-	chr5:79947458-79952689
MSH3	NM_002439.4	chr5:79950466-80172634:+	chr5:79947458-79952689
DHFR	NM_000791.3	chr5:79922044-79950800:-	chr5:79947458-79952689
MICU2	NM_152726.2	chr13:22066827-22178355:-	chr13:22175928-22179433
NDUFB8	NM_001284367.1	chr10:102283485-102289680:-	chr10:102287139-102290409
SPAG8	NM_172312.1	chr9:35807781-35812259:-	chr9:35811189-35816401
HINT2	NM_032593.2	chr9:35812956-35815042:-	chr9:35811189-35816401
DGCR14	NR_134304.1	chr22:19117791-19132190:-	chr22:19130868-19132835
NDUFAF4	NM_014165.3	chr6:97337186-97345767:-	chr6:97344325-97350227
KLHL32	NM_001323258.1	chr6:97345958-97562619:+	chr6:97344325-97350227
SEPHS2	NM_012248.3	chr16:30454945-30457296:-	chr16:30454596-30459610
LMAN2	NM_006816.2	chr5:176758562-176778885:-	chr5:176777483-176786978
RGS14	NM_006480.4	chr5:176784843-176799599:+	chr5:176777483-176786978
RBMX2	NM_016024.2	chrX:129535942-129547317:+	chrX:129534901-129537231
LOC101928596	NR_135799.1	chr1:169073361-169074145:+	chr1:169069257-169091031
ATP1B1	NM_001677.3	chr1:169075946-169101960:+	chr1:169069257-169091031
UNG	NM_080911.2	chr12:109535398-109548798:+	chr12:109534045-109537216
UFSP1	NM_001015072.3	chr7:100486343-100487339:-	chr7:100483935-100489872
CHD1	NM_001270.2	chr5:98190907-98262238:-	chr5:98255318-98270148
LOC100289230	NR_036530.1	chr5:98264837-98266713:+	chr5:98255318-98270148
LOC100506113	NR_144531.1	chr11:75524558-75525842:-	chr11:75523517-75528430
UVRAG	NM_003369.3	chr11:75526211-75855282:+	chr11:75523517-75528430
PCED1B	NM_001281429.1	chr12:47473385-47630446:+	chr12:47468545-47484542
AMIGO2	NM_181847.4	chr12:47469489-47473734:-	chr12:47468545-47484542
RAB32	NM_006834.4	chr6:146864827-146876092:+	chr6:146863666-146869209
MTG2	NM_015666.3	chr20:60758080-60777823:+	chr20:60756773-60764495
TTC19	NM_017775.3	chr17:15902693-15932723:+	chr17:15897328-15904837
ZSWIM7	NM_001042697.1	chr17:15879873-15903006:-	chr17:15897328-15904837
CNNM2	NM_199076.2	chr10:104678074-104838344:+	chr10:104676196-104679209
ZNF670-ZNF695	NR_037894.1	chr1:247108848-247242115:-	chr1:247240272-247243987
ZNF670	NM_033213.4	chr1:247197939-247242115:-	chr1:247240272-247243987
CCNYL1	NM_152523.2	chr2:208576263-208620898:+	chr2:208574165-208578864
C17orf97	NM_001013672.4	chr17:260117-264457:+	chr17:258810-262050
LOC105371430	NR_136407.1	chr17:254325-263814:-	chr17:258810-262050
TSTD3	NM_001195131.1	chr6:99968869-99981061:+	chr6:99968017-99971220
SETD3	NM_032233.2	chr14:99864082-99947226:-	chr14:99942972-99949591
